PS.X,PS.Y,SS.X,SS.Y
0.000000000000000000e+00,3.046088472631313659e-01,0.000000000000000000e+00,3.046088472631313659e-01
8.763022223325613513e-04,3.054582950681803966e-01,-7.529995088358937402e-04,3.036482535533736593e-01
3.000775077225719106e-03,3.068325877688752867e-01,-1.892393235681726765e-03,3.013841476065893255e-01
5.618472122636576464e-03,3.077837667567026037e-01,-2.543816018597553578e-03,2.986535133261816188e-01
8.725641277906683035e-03,3.083248992252868859e-01,-2.708331000357723419e-03,2.954468428305049299e-01
1.231769405580143695e-02,3.084706451706863972e-01,-2.386857345143732646e-03,2.917566243425294137e-01
1.638908708729671510e-02,3.082371971099675534e-01,-1.579951677737411993e-03,2.875774590863942604e-01
2.093321587310774737e-02,3.076422155204701081e-01,-2.876143436101090628e-04,2.829061805096775850e-01
2.594232359271814170e-02,3.067047586773897216e-01,1.490873727780344651e-03,2.777419754458566037e-01
3.140742762742480126e-02,3.054452056777103852e-01,3.757078602887614031e-03,2.720865066878258021e-01
3.731826619717737437e-02,3.038851715967814116e-01,6.513501414090390115e-03,2.659440362269316349e-01
4.366326719221534647e-02,3.020474139209604614e-01,9.763624085967712377e-03,2.593215481579884130e-01
5.042954091048748588e-02,2.999557296304474208e-01,1.351191107618596003e-02,2.522288699806279899e-01
5.760289799969495195e-02,2.976348425655661045e-01,1.776376670964744178e-02,2.446787907583097277e-01
6.516789345839210656e-02,2.951102809915381320e-01,2.252544888808065068e-02,2.366871743435170761e-01
7.310789708544876420e-02,2.924082455749039133e-01,2.780394109978648332e-02,2.282730656545768344e-01
8.140519029488091363e-02,2.895554682925607359e-01,3.360678569328690718e-02,2.194587878075490162e-01
9.004108874923594241e-02,2.865790631055274429e-01,3.994188227465819002e-02,2.102700277742429458e-01
9.899608982676674773e-02,2.835063695385627303e-01,4.681725580616726695e-02,2.007359081593238503e-01
1.082500435441757503e-01,2.803647906100475984e-01,5.424079949395097661e-02,1.908890426654124839e-01
1.177823452265989446e-01,2.771816268534297856e-01,6.221999783243045701e-02,1.807655728386821370e-01
1.275721479674173930e-01,2.739839084655361079e-01,7.076163520914420524e-02,1.704051837449702400e-01
1.375985927668806064e-01,2.707982279172804763e-01,7.987149526241496544e-02,1.598510962955717041e-01
1.478410541888671437e-01,2.676505756847213924e-01,8.955405573528311958e-02,1.491500339908486961e-01
1.582793994280834726e-01,2.645661821269554848e-01,9.981218290796278758e-02,1.383521618366315709e-01
